HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
['10:40-11:30'],,"['GAC008', '1B303 No Curso de Geologia']",,,,
['11:30-12:20'],,,,,,
['13:10-14:00'],,,"['GAC007', 'LAB. CARTOGRAFIA']",,,
['14:00-14:50'],"['GAC012', '1B401 / LTGEO']","['GAC011', 'LTGEO']","['GAC007', 'LAB. CARTOGRAFIA']",,,
['14:50-15:40'],"['GAC012', '1B401 / LTGEO']","['GAC011', 'LTGEO']","['GAC007', 'LAB. CARTOGRAFIA']",,,
['16:00-16:50'],"['GAC012', '1B401 / LTGEO']","['GAC011', 'LTGEO']","['GAC007', 'LAB. CARTOGRAFIA']",,,
['16:50-17:40'],"['GAC012', '1B401 / LTGEO']","['GAC011', 'LTGEO']",,,,
['17:40-18:30'],,,,,,
['7:10-8:00'],,"['GAC013', '1B403 / LAPLAN']",,,,
['8:00-8:50'],,"['GAC013', '1B403 / LAPLAN']",,,,
['8:50-9:40'],,"['GAC013', '1B403 / LAPLAN']",,,,
['9:50-10:40'],,"['GAC013', '1B403 / LAPLAN']","['GAC014', '1B303 No curso de Geologia']","['GAC014', '1B303 No curso de Geologia']",,
['10:40-11:30'],,,"['GAC014', '1B303 No curso de Geologia']","['GAC014', '1B303 No curso de Geologia']",,
['11:30-12:20'],,,,,,
['13:10-14:00'],,"['GAC015', '1B403']",,"['GAC017', '1A215']","['GAC016', '1A215']",
['14:00-14:50'],"['GAC018', 'SIGEO']","['GAC015', '1B403']","['GAC018', 'SIGEO']","['GAC017', '1A215']","['GAC016', '1A215']",
['14:50-15:40'],"['GAC018', 'SIGEO']","['GAC015', '1B403']","['GAC018', 'SIGEO']","['GAC016', '1A215']","['GAC017', '1A215']",
['16:00-16:50'],,"['GAC015', '1B403']",,"['GAC016', '1A215']","['GAC017', '1A215']",
['16:50-17:40'],,,,,,
['17:40-18:30'],,,,,,
['7:10-8:00'],,,"['GAC021', 'LTGEO']",,,
['8:00-8:50'],,,"['GAC021', 'LTGEO']",,,
['8:50-9:40'],,,"['GAC021', 'LTGEO']",,,
['9:50-10:40'],,,"['GAC021', 'LTGEO']",,,
['10:40-11:30'],,,,,,
['11:30-12:20'],,,,,,
['13:10-14:00'],,"['GAC019', 'LAPLAN']",,"['GAC022', '1A206']","['GAC023', '1A206 / SIGEO']",
['14:00-14:50'],"['GAC024', '1A206']","['GAC019', 'LAPLAN']",,"['GAC022', '1A206']","['GAC023', '1A206 / SIGEO']",
['14:50-15:40'],"['GAC024', '1A206']","['GAC019', 'LAPLAN']","['GAC023', '1B403 / LASER']","['GAC020', '1A212 No curso de Geologia']","['GAC022', '1A206']",
['16:00-16:50'],"['GAC024', '1A206']","['GAC019', 'LAPLAN']","['GAC023', '1B403 / LASER']","['GAC020', '1A212 No curso de Geologia']","['GAC022', '1A206']",
['16:50-17:40'],"['GAC024', '1A206']",,,"['GAC020', '1A212 No curso de Geologia']",,
['17:40-18:30'],,,,"['GAC020', '1A212 No curso de Geologia']",,
['7:10-8:00'],,,,,,
['8:00-8:50'],"['GAC025', '1B403 / LTGEO']","['GAC027', '1A215']","['GAC029', '1A204']",,,
['8:50-9:40'],"['GAC025', '1B403/ LTGEO']","['GAC027', '1A215 / LTGEO']","['GAC029', '1A204']",,,
['9:50-10:40'],"['GAC025', '1B403 / LTGEO']","['GAC027', '1A215 / LTGEO']","['GAC029', '1A204']",,,
['10:40-11:30'],"['GAC025', '1B403 / LTGEO']","['GAC027', '1A215 / LTGEO']","['GAC029', '1A204']",,,
['11:30-12:20'],,,,,,
['13:10-14:00'],"['GAC026', '1A215 / LASER']","['GAC028', '1A215']","['GAC030', '1A204']",,,
['14:00-14:50'],"['GAC026', '1A215 / LASER']","['GAC028', '1A215']","['GAC030', '1A204']",,,
['14:50-15:40'],"['GAC028', '1A215']",,"['GAC030', '1A204']",,,
['16:00-16:50'],"['GAC028', '1A215']","['GAC026', '1A215 / SIGEO']","['GAC030', '1A204']",,,
['16:50-17:40'],,"['GAC026', '1A215 / SIGEO']",,,,
['17:40-18:30'],,,,,,
['7:10-8:00'],,,"['GAC032', '1A215']",,"['GAC031', '1A206 / LASER']",
['8:00-8:50'],,,"['GAC032', '1A215']",,"['GAC031', '1A206 / LASER']",
['8:50-9:40'],"['GAC034', 'LASER']",,"['GAC034', 'LASER']","['GAC035', '1B401 / LASER']","['GAC031', '1A206 / LASER']",
['9:50-10:40'],"['GAC034', 'LASER']",,"['GAC034', 'LASER']","['GAC035', '1B401 / LASER']","['GAC031', '1A206 / LASER']",
['10:40-11:30'],,,,"['GAC035', '1B401 / LASER']",,
['11:30-12:20'],,,,"['GAC035', '1B401 / LASER']",,
['13:10-14:00'],,,"['GAC036', '1A215']",,,
['14:00-14:50'],,,"['GAC036', '1A215']",,,
['14:50-15:40'],"['GAC033', '1B305']","['GAC033', '1A204 / LAB FACOM']","['GAC036', '1A215']",,,
['16:00-16:50'],"['GAC033', '1B305']","['GAC033', '1A204 / LAB FACOM']","['GAC036', '1A215']",,,
['16:50-17:40'],,,"['GAC032', '1A215']",,,
['17:40-18:30'],,,"['GAC032', '1A215']",,,
['7:10-8:00'],,,,,,
['8:00-8:50'],,,,,,
['8:50-9:40'],,"['GAC039', '1A206']","['GAC040', '1A215']","['GAC039', '1A206']","['GAC037', '1A204 / SIGEO']",
['9:50-10:40'],,"['GAC039', '1A206']","['GAC040', '1A215']","['GAC039', '1A206']","['GAC037', '1A204 / SIGEO']",
['10:40-11:30'],,,"['GAC040', '1A215']",,"['GAC037', '1A204 / SIGEO']",
['11:30-12:20'],,,"['GAC040', '1A215']",,"['GAC037', '1A204 / SIGEO']",
['13:10-14:00'],,,,,,
['14:00-14:50'],,,,,,
