Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
CLAA,Processo Seletivo para tutor do grupo PET Letras,http://www.editais.ufu.br/node/5801,Programa PET,12/07/2022,Não Publ.
PET Educação Física,Edital de seleção de alunos para ingresso no PET Educação Física,http://www.editais.ufu.br/node/5799,Programa PET,11/07/2022,Não Publ.
"PET SAÚDE, CULTURA E SABERES (PET MAIS SAÚDE)","EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET SAÚDE, CULTURA E SABERES (PET MAIS SAÚDE)",http://www.editais.ufu.br/node/5797,Programa PET,04/07/2022,Não Publ.
INCIS,"Edital Seleção de Bolsista PBG 2022 - Projeto: Desenvolvimento de habilidades executivas e de liderança em planejamento, gestão e execução de projeto no âmbito do Programa de Pós-Graduação em Ciências Sociais da UFU",http://www.editais.ufu.br/node/5782,Estágio UFU,24/06/2022,Não Publ.
INCIS,"Edital de Bolsista PBG 2022 - Projeto: Arquivo, história e memória: catalogar para salvaguardar e resistir",http://www.editais.ufu.br/node/5783,Estágio UFU,24/06/2022,Não Publ.
PPGE,Edital de Seleção – Mestrado e Doutorado em Economia – PPGE-UFU – Turma 2023/01,http://www.editais.ufu.br/node/5771,Mest./Dout./Especializ.,14/06/2022,Não Publ.
DRII,EDITAL DE PROCESSO SELETIVO PARA ESTÁGIO DRII 13/2022 - Cursos de Letras e Ciências da Computação/Sistema de Informação,http://www.editais.ufu.br/node/5767,Estágio UFU,07/06/2022,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE BOLSISTAS COM CONHECIMENTO EM LIBRAS,http://www.editais.ufu.br/node/5663,Monitoria,08/04/2022,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE MONITORES PARA DESENVOLVIMENTO DE AÇÕES EDUCATIVAS DE APOIO E SUPORTE AOS ESTUDANTES COM DEFICIÊNCIA,http://www.editais.ufu.br/node/5654,Monitoria,01/04/2022,Não Publ.
Escola Técnica da Saúde da Universidade Federal de Uberlândia - ESTES,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DE SERVIÇO SOCIAL - ESTÁGIO OBRIGATÓRIO,http://www.editais.ufu.br/node/5616,Estágio UFU,25/02/2022,Não Publ.
PROAE UFU,Oportunidade de Vaga de Estágio PROAE UFU,http://www.editais.ufu.br/node/5601,Estágio UFU,21/02/2022,Não Publ.
