HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
16h00-16h50,IGUFU32610-GEOLOGIA ESTRUTURALE GEOTECTÔNICAII PROF.MARCOANTÔNIO SALA1A212,IGUFU32610- GEOLOGIAESTRUTURAL EGEOTECTÔNICAII PROF.MARCOANTÔNIO SALA1A209,IGUFU32612– PETROLOGIA METAMÓRFICA PROF.FILIPE LABPETROouGEOMIN,,
16h50-17h40,,,,,
17h40-18h30,,,,,
07h10-08h00,,,,,
08h00-08h50,IGUFU32706-GEOFÍSICA II PROF.EMERSON SALA1A217 ouLab.deGeofísica,,,,
08h50-09h40,IGUFU32706-GEOFÍSICA II PROF.EMERSON SALA1A217 ouLab.deGeofísica,IGUFU32707 GEOLOGIAHISTÓRICAE DOBRASILI PROF.MARCOANTÔNIO SALA1A214,,,
09h50-10h40,IGUFU32706-GEOFÍSICA II PROF.EMERSON SALA1A217 ouLab.deGeofísica,IGUFU32707 GEOLOGIAHISTÓRICAE DOBRASILI PROF.MARCOANTÔNIO SALA1A214,,"IGUFU32708- MapeamentoGeológicoI PROFS.LUCIANO, MARCO,JOSIANEE SUZANA SALA1B305",
10h40-11h30,IGUFU32706-GEOFÍSICA II PROF.EMERSON SALA1A217 ouLab.deGeofísica,IGUFU32707 GEOLOGIAHISTÓRICAE DOBRASILI PROF.MARCOANTÔNIO SALA1A214,,"IGUFU32708- MapeamentoGeológicoI PROFS.LUCIANO, MARCO,JOSIANEE SUZANA SALA1B305",
11h30-12h20,,IGUFU32707 GEOLOGIAHISTÓRICAE DOBRASILI PROF.MARCOANTÔNIO SALA1A214,,"IGUFU32708- MapeamentoGeológicoI PROFS.LUCIANO, MARCO,JOSIANEE SUZANA SALA1B305",
13h10-14h00,,,,,
14h00-14h50,,,,,
14h50-15h40,,,,,
16h00-16h50,,,,,
16h50-17h40,,,,,
07h10-08h00,,,,,
08h00-08h50,,,IGUFU32806 GEOLOGIAAMBIENTAL PROFALILIANE SALA1A214,,
08h50-09h40,IGUFU32807 GEOLOGIAHISTÓRICAE DOBRASILII PROF.MARCOANTÔNIO SALA1A212,,IGUFU32806 GEOLOGIAAMBIENTAL PROFALILIANE SALA1A214,,
09h50-10h40,IGUFU32807 GEOLOGIAHISTÓRICAE DOBRASILII PROF.MARCOANTÔNIO SALA1A212,,IGUFU32806 GEOLOGIAAMBIENTAL PROFALILIANE SALA1A214,,
10h40-11h30,IGUFU32807 GEOLOGIAHISTÓRICAE DOBRASILII PROF.MARCOANTÔNIO SALA1A212,,IGUFU32806 GEOLOGIAAMBIENTAL PROFALILIANE SALA1A214,,
11h30-12h20,IGUFU32807 GEOLOGIAHISTÓRICAE DOBRASILII PROF.MARCOANTÔNIO SALA1A212,,,,
13h10-14h00,,,IGUFU32808-GEOLOGIA ECONÔMICAI PROF.ªANGELA SALA1A214,IGUFU32809RECURSOS ENERGÉTICOS PROFªJOSIANE SALA1A214,
14h00-14h50,,,IGUFU32808-GEOLOGIA ECONÔMICAI PROF.ªANGELA SALA1A214,IGUFU32809RECURSOS ENERGÉTICOS PROFªJOSIANE SALA1A214,
14h50-15h40,IGUFU32611 GEOLOGIADE ENGENHARIA PROF.ªLILIANE SALA1A214,IGUFU32611 GEOLOGIADE ENGENHARIA PROF.ªLILIANE GEOMIN,IGUFU32808-GEOLOGIA ECONÔMICAI PROF.ªANGELA SALA1A214,IGUFU32809RECURSOS ENERGÉTICOS PROFªJOSIANE SALA1A214,
16h00-16h50,IGUFU32611 GEOLOGIADE ENGENHARIA PROF.ªLILIANE SALA1A214,IGUFU32611 GEOLOGIADE ENGENHARIA PROF.ªLILIANE GEOMIN,IGUFU32808-GEOLOGIA ECONÔMICAI PROF.ªANGELA SALA1A214,IGUFU32809RECURSOS ENERGÉTICOS PROFªJOSIANE SALA1A214,
16h50-17h40,,,,,
17h40-18h30,,,,,
07h10-08h00,,,,,
08h00-08h50,,,,,
08h50-09h40,,,,,
09h50-10h40,,,,,
10h40-11h30,,,,,
11h30-12h20,,,,,
13h10-14h00,IGUFU32907-GEOLOGIA ECONÔMICAII PROF.ªANGELA SALA1A209,,,,IGUFU32906- PROSPECÇÃOE PESQUISAMINERAL SALA1A214
14h00-14h50,IGUFU32907-GEOLOGIA ECONÔMICAII PROF.ªANGELA SALA1A209,,,,IGUFU32906- PROSPECÇÃOE PESQUISAMINERAL SALA1A214
14h50-15h40,IGUFU32907-GEOLOGIA ECONÔMICAII PROF.ªANGELA SALA1A209,,,,IGUFU32906- PROSPECÇÃOE PESQUISAMINERAL SALA1A214
16h00-16h50,IGUFU32907-GEOLOGIA ECONÔMICAII PROF.ªANGELA SALA1A209,,,,IGUFU32906- PROSPECÇÃOE PESQUISAMINERAL SALA1A214
16h50-17h40,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
20h40-21h30,,,,,
07h10-08h00,,,,,
08h00-08h50,,,,,
08h50-09h40,,,,,
09h50-10h40,,,,,
10h40-11h30,,,,,
11h30-12h20,,,,,
13h10-14h00,,IGUFU39055- MODELAMENTO GEOLOGICOE METALOGENÉTICODE DEPÓSITOSMINERAIS PROFAANGELA GEOMIN/LABPETRO,,,
14h00-14h50,,IGUFU39055- MODELAMENTO GEOLOGICOE METALOGENÉTICODE DEPÓSITOSMINERAIS PROFAANGELA GEOMIN/LABPETRO,,,
14h50-15h40,,IGUFU39055- MODELAMENTO GEOLOGICOE METALOGENÉTICODE DEPÓSITOSMINERAIS PROFAANGELA LABPETRO,,,
16h00-16h50,,IGUFU39055- MODELAMENTO GEOLOGICOE METALOGENÉTICODE DEPÓSITOSMINERAIS PROFAANGELA LABPETRO,,,
16h50-17h40,,,,,
17h40-18h30,,,,,
